ku_id,type,canonical_name,name_en,source_task,created,updated,card_path
units/persons/andrea-pozzo,person,安德烈亚·波佐,Andrea Pozzo,,2026-09-09,2026-09-14,04-knowledge/units/persons/andrea-pozzo.md
units/persons/andrea-procaccini,person,安德烈亚·普罗卡奇尼,Andrea Procaccini,,2026-09-09,2026-09-14,04-knowledge/units/persons/andrea-procaccini.md
units/persons/andrea-sacchi,person,安德烈亚·萨基,Andrea Sacchi,,2026-09-09,2026-09-14,04-knowledge/units/persons/andrea-sacchi.md
units/persons/angela-mizzina,person,安杰拉·米齐纳,Angela Mizzina,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/angela-mizzina.md
units/persons/angelica-galante,person,安杰莉卡·加兰特,Angelica Galante,chp-1,2026-09-25,2026-09-25,04-knowledge/units/persons/angelica-galante.md
units/persons/ann-sutherland-harris,person,安·萨瑟兰·哈里斯,Ann Sutherland Harris,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/ann-sutherland-harris.md
units/persons/annibale-bentivoglio,person,安尼巴莱·本蒂沃利奥,Annibale Bentivoglio,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/annibale-bentivoglio.md
units/persons/annibale-carracci,person,安尼巴莱·卡拉奇,Annibale Carracci,,2026-09-09,2026-09-14,04-knowledge/units/persons/annibale-carracci.md
units/persons/annibale-laparelli,person,安尼巴莱·拉帕雷利,Annibale Laparelli,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/annibale-laparelli.md
units/persons/anthony-blunt,person,安东尼·弗雷德里克·布伦特,Anthony Frederick Blunt,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/anthony-blunt.md
units/persons/anthony-clark,person,安东尼·莫里斯·克拉克,Anthony Morris Clark,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/anthony-clark.md
units/persons/antonio-barberini,person,安东尼奥·巴贝里尼,Antonio Barberini,,2026-09-09,2026-09-14,04-knowledge/units/persons/antonio-barberini.md
units/persons/antonio-draghi,person,安东尼奥·德拉吉,Antonio Draghi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/antonio-draghi.md
units/persons/antonio-ruffo,person,安东尼奥·鲁福,Don Antonio Ruffo,,2026-09-09,2026-09-14,04-knowledge/units/persons/antonio-ruffo.md
units/persons/antonio-verrio,person,安东尼奥·韦里奥,Antonio Verrio,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/antonio-verrio.md
units/persons/archbishop-tillotson,person,约翰·蒂洛特森,John Tillotson,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/archbishop-tillotson.md
units/persons/aristotle,person,亚里士多德,Aristotle,front-matter,2026-09-14,2026-09-25,04-knowledge/units/persons/aristotle.md
units/persons/artemisia-gentileschi,person,阿尔泰米西娅·真蒂莱斯基,Artemisia Gentileschi,,2026-09-09,2026-09-14,04-knowledge/units/persons/artemisia-gentileschi.md
units/persons/b-nazari,person,巴托洛梅奥·纳扎里,Bartolomeo Nazari,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/b-nazari.md
units/persons/baldassare-franceschini,person,巴尔达萨雷·弗兰切斯基尼,Baldassarre Franceschini,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/baldassare-franceschini.md
units/persons/baldassare-longhena,person,巴尔达萨雷·隆盖纳,Baldassare Longhena,front-matter,2026-09-25,2026-09-25,04-knowledge/units/persons/baldassare-longhena.md
units/persons/bartolozzi,person,弗朗切斯科·巴尔托洛齐,Francesco Bartolozzi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/bartolozzi.md
units/persons/benedetto-luti,person,贝内代托·卢蒂,Benedetto Luti,,2026-09-09,2026-09-14,04-knowledge/units/persons/benedetto-luti.md
units/persons/benedict-nicolson,person,莱昂内尔·本尼迪克特·尼科尔森,Lionel Benedict Nicolson,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/benedict-nicolson.md
units/persons/benvenuto-cellini,person,本韦努托·切利尼,Benvenuto Cellini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/benvenuto-cellini.md
units/persons/berlingete-gessi,person,贝尔林杰罗·杰西,Berlingero Gessi,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/berlingete-gessi.md
units/persons/bernardino-castelli,person,贝尔纳迪诺·卡斯泰利,Bernardino Castelli,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/bernardino-castelli.md
units/persons/bernardo-falconi,person,贝尔纳多·法尔科内（Bernardo Falconi，亦作 Bernardo Falcone）,Bernardo Falconi,front-matter,2026-09-25,2026-09-25,04-knowledge/units/persons/bernardo-falconi.md
units/persons/bonifazio-gozadini,person,博尼法齐奥·戈扎迪尼,Bonifazio Gozadini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/bonifazio-gozadini.md
units/persons/bruce-boucher,person,布鲁斯·安布勒·鲍彻,Bruce Ambler Boucher,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/bruce-boucher.md
units/persons/burnacini,person,卢多维科·奥塔维奥·布尔纳奇尼,Ludovico Ottavio Burnacini,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/burnacini.md
units/persons/camillo-gavasetti,person,卡米洛·加瓦塞蒂,Camillo Gavasetti,,2026-09-09,2026-09-14,04-knowledge/units/persons/camillo-gavasetti.md
units/persons/camillo-massimi,person,卡米洛·马西米,Camillo Massimi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/camillo-massimi.md
units/persons/camillo-pamfili,person,卡米洛·弗朗切斯科·玛丽亚·潘菲利,Camillo Francesco Maria Pamphili,,2026-09-09,2026-09-14,04-knowledge/units/persons/camillo-pamfili.md
units/persons/canaletto,person,乔瓦尼·安东尼奥·卡纳尔,Giovanni Antonio Canal,,,,04-knowledge/units/persons/canaletto.md
units/persons/canova,person,安东尼奥·卡诺瓦,Antonio Canova,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/canova.md
units/persons/caravaggio,person,卡拉瓦乔,Caravaggio,,2026-09-09,2026-09-14,04-knowledge/units/persons/caravaggio.md
units/persons/cardinal-bentivoglio,person,圭多·本蒂沃利奥,Guido Bentivoglio,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/cardinal-bentivoglio.md
units/persons/cardinal-borghese-ch1,person,希皮奥内·博尔盖塞枢机,Cardinal Scipione Borghese,,2026-09-09,2026-09-14,04-knowledge/units/persons/cardinal-borghese-ch1.md
units/persons/cardinal-pio-bonati,person,卡洛·皮奥·迪·萨伏依,Carlo Pio di Savoia,,2026-09-09,2026-09-14,04-knowledge/units/persons/cardinal-pio-bonati.md
units/persons/cardinal-rospigliosi-gimignani,person,朱利奥·罗斯皮廖西,Giulio Rospigliosi,,2026-09-09,2026-09-14,04-knowledge/units/persons/cardinal-rospigliosi-gimignani.md
units/persons/carlo-bianconi,person,卡洛·比安科尼,Carlo Bianconi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/carlo-bianconi.md
units/persons/carlo-cesare-malvasia,person,卡洛·切萨雷·马尔瓦西亚,Carlo Cesare Malvasia,,2026-09-09,2026-09-14,04-knowledge/units/persons/carlo-cesare-malvasia.md
units/persons/carlo-dolci,person,卡洛·多尔奇,Carlo Dolci,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/carlo-dolci.md
units/persons/carlo-lodoli,person,卡洛·洛多利,Carlo Lodoli,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/carlo-lodoli.md
units/persons/carlo-maratta,person,卡洛·马拉塔,Carlo Maratta,,2026-09-09,2026-09-14,04-knowledge/units/persons/carlo-maratta.md
units/persons/carlo-quarisimini-ch1,person,"卡洛·夸里斯米尼（1696年通信者）（Carlo Quarismini, correspondent in 1696）",Carlo Quarismini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/carlo-quarisimini-ch1.md
units/persons/carlo-ridolfi,person,卡洛·里多尔菲,Carlo Ridolfi,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/carlo-ridolfi.md
units/persons/cassiano-dal-pozzo,person,卡西亚诺·达尔·波佐,Cassiano dal Pozzo,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/cassiano-dal-pozzo.md
units/persons/cesare-leopardi-dosimo,person,切萨雷·莱奥帕尔迪·多西莫,Don Cesare Leopardi d’Osimo,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/cesare-leopardi-dosimo.md
units/persons/charles-fox,person,查尔斯·福克斯,Charles Fox,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/charles-fox.md
units/persons/charles-francois-poerson,person,夏尔-弗朗索瓦·普瓦松,Charles-François Poerson,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/charles-francois-poerson.md
units/persons/charles-i,person,查理一世,Charles I of England,front-matter,2026-09-14,2026-09-25,04-knowledge/units/persons/charles-i.md
units/persons/charles-v,person,查理五世,Charles V,,2026-09-09,2026-09-14,04-knowledge/units/persons/charles-v.md
units/persons/christina-of-sweden,person,瑞典女王克里斯蒂娜,Christina of Sweden,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/christina-of-sweden.md
units/persons/cimaroli,person,乔瓦尼·巴蒂斯塔·奇马罗利,Giovanni Battista Cimaroli,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/cimaroli.md
units/persons/ciriaco-mattei,person,奇里亚科·马泰,Ciriaco Mattei,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/ciriaco-mattei.md
units/persons/ciro-ferri,person,奇罗·费里,Ciro Ferri,,2026-09-09,2026-09-14,04-knowledge/units/persons/ciro-ferri.md
units/persons/claude-lorrain,person,克劳德·洛兰,Claude Lorrain,,2026-09-09,2026-09-14,04-knowledge/units/persons/claude-lorrain.md
units/persons/claude-mellan,person,克洛德·梅朗,Claude Mellan,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/claude-mellan.md
units/persons/clement-i,person,圣克莱孟一世,Clement I,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/clement-i.md
units/persons/clement-viii,person,克勉八世,Clement VIII,chp-1,2026-09-12,2026-09-14,04-knowledge/units/persons/clement-viii.md
units/persons/clement-xi,person,克雷芒十一世,Clement XI,,2026-09-09,2026-09-14,04-knowledge/units/persons/clement-xi.md
units/persons/correggio,person,科雷乔,Correggio,,2026-09-09,2026-09-14,04-knowledge/units/persons/correggio.md
units/persons/dan-fellows-platt,person,丹·费洛斯·普拉特,Dan Fellows Platt,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/dan-fellows-platt.md
units/persons/daphne-ionides,person,达芙妮·伊奥尼德斯,Daphne Ionides,front-matter,2026-09-14,2026-09-25,04-knowledge/units/persons/daphne-ionides.md
units/persons/denis-mahon,person,丹尼斯·马洪,Denis Mahon,,2026-09-09,2026-09-15,04-knowledge/units/persons/denis-mahon.md
units/persons/domenichino,person,多梅尼科·赞皮耶里,Domenico Zampieri,,2026-09-09,2026-09-14,04-knowledge/units/persons/domenichino.md
units/persons/domenico-cerato,person,多梅尼科·切拉托,Domenico Cerato,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/domenico-cerato.md
units/persons/domenico-maria-viani,person,多梅尼科·马里亚·维亚尼,Domenico Maria Viani,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/domenico-maria-viani.md
units/persons/duke-bracciano-mulier,person,布拉恰诺公爵（穆利耶尔的雇主）,Duke of Bracciano (Mulier’s patron),chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/duke-bracciano-mulier.md
units/persons/duke-mantua-reni-1617,person,费迪南多·贡扎加,Ferdinando Gonzaga,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/duke-mantua-reni-1617.md
units/persons/duke-parma-ghezzi,person,帕尔马公爵（盖齐授衔语境）,Duke of Parma (Ghezzi’s honorary appointment),chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/duke-parma-ghezzi.md
units/persons/eberhard-zwicker,person,埃伯哈德·茨维克,Eberhard Zwicker,front-matter,2026-09-14,2026-09-25,04-knowledge/units/persons/eberhard-zwicker.md
units/persons/elizabeth-orna,person,伊丽莎白·奥纳,Elizabeth Orna,front-matter,2026-09-14,2026-09-25,04-knowledge/units/persons/elizabeth-orna.md
units/persons/ellis-waterhouse,person,埃利斯·柯克姆·沃特豪斯,Ellis Kirkham Waterhouse,,,,04-knowledge/units/persons/ellis-waterhouse.md
units/persons/enzo-crea,person,恩佐·克雷亚,Enzo Crea,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/enzo-crea.md
units/persons/ermete-cavalletti,person,埃尔梅特·卡瓦莱蒂,Ermete Cavalletti,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/ermete-cavalletti.md
units/persons/ernest-cognacq,person,泰奥多尔—埃内斯特·科涅克,Théodore-Ernest Cognacq,front-matter,2026-09-15,2026-09-15,04-knowledge/units/persons/ernest-cognacq.md
units/persons/ernest-graf,person,欧内斯特·格拉夫,Ernest Graf,front-matter,2026-09-15,2026-09-15,04-knowledge/units/persons/ernest-graf.md
units/persons/fabrizio-arragona,person,法布里齐奥·阿拉戈纳,Fabrizio Arragona,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/fabrizio-arragona.md
units/persons/fabrizio-valguarnera,person,法布里齐奥·瓦尔瓜尔内拉,Fabrizio Valguarnera,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/fabrizio-valguarnera.md
units/persons/federigo-zuccari,person,费德里科·祖卡里,Federico Zuccari,,2026-09-09,2026-09-14,04-knowledge/units/persons/federigo-zuccari.md
units/persons/ferdinand-grand-prince-tuscany,person,托斯卡纳大公子费迪南多,Grand Prince Ferdinand of Tuscany,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/ferdinand-grand-prince-tuscany.md
units/persons/ferdinando-ii-de-medici,person,费迪南多二世·德·美第奇,Ferdinando II de’ Medici,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/ferdinando-ii-de-medici.md
units/persons/ferdinando-marescalchi,person,费迪南多·马雷斯卡尔基,Ferdinando Marescalchi,front-matter,2026-09-15,2026-09-15,04-knowledge/units/persons/ferdinando-marescalchi.md
units/persons/filippo-baldinucci,person,菲利波·巴尔迪努奇,Filippo Baldinucci,,2026-09-09,2026-09-14,04-knowledge/units/persons/filippo-baldinucci.md
units/persons/filippo-hercolani-1736,person,菲利波·埃尔科拉尼（Filippo Hercolani，1736–1810）,Filippo Hercolani (1736–1810),,2026-09-25,2026-09-25,04-knowledge/units/persons/filippo-hercolani-1736.md
units/persons/filippo-lauri,person,菲利波·劳里,Filippo Lauri,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/filippo-lauri.md
units/persons/flaminio-corner,person,弗拉米尼奥·科尔内尔,Flaminio Corner,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/flaminio-corner.md
units/persons/flavio-chigi,person,弗拉维奥·基吉,Flavio Chigi,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/flavio-chigi.md
units/persons/francesco-albani,person,弗朗切斯科·阿尔巴尼,Francesco Albani,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/francesco-albani.md
units/persons/francesco-algarotti,person,弗朗切斯科·阿尔加罗蒂,Francesco Algarotti,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/francesco-algarotti.md
units/persons/francesco-barberini,person,弗朗切斯科·巴贝里尼,Francesco Barberini,,2026-09-09,2026-09-14,04-knowledge/units/persons/francesco-barberini.md
units/persons/francesco-cavrioli,person,弗朗切斯科·卡夫里奥利,Francesco Cavrioli,front-matter,2026-09-25,2026-09-25,04-knowledge/units/persons/francesco-cavrioli.md
units/persons/francesco-fanelli,person,弗朗切斯科·法内利,Francesco Fanelli,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/francesco-fanelli.md
units/persons/francesco-fontana,person,弗朗切斯科·丰塔纳,Francesco Fontana,,2026-09-09,2026-09-25,04-knowledge/units/persons/francesco-fontana.md
units/persons/francesco-guardi,person,弗朗切斯科·瓜尔迪,Francesco Guardi,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/francesco-guardi.md
units/persons/francesco-maggiotto,person,弗朗切斯科·费代利（又称马焦托）,"Francesco Fedeli, detto il Maggiotto",chp-1,2026-09-14,2026-09-25,04-knowledge/units/persons/francesco-maggiotto.md
units/persons/galeazzo-fontana,person,加莱亚佐·丰塔纳,Galeazzo Fontana,chp-1,2026-09-25,2026-09-25,04-knowledge/units/persons/galeazzo-fontana.md
units/persons/maffeo-pinelli,person,马费奥·皮内利,Maffeo Pinelli,chp-1,2026-09-25,2026-09-25,04-knowledge/units/persons/maffeo-pinelli.md
units/persons/francesco-maria-del-monte,person,弗朗切斯科·玛丽亚·德尔·蒙特,Francesco Maria del Monte,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/francesco-maria-del-monte.md
units/persons/francesco-novetti,person,弗朗切斯科·诺韦蒂,Francesco Novetti,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/francesco-novetti.md
units/persons/francesco-petrucci,person,弗朗切斯科·彼得鲁奇,Francesco Petrucci,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/francesco-petrucci.md
units/persons/francesco-trevisani,person,弗朗切斯科·特雷维萨尼,Francesco Trevisani,,2026-09-09,2026-09-14,04-knowledge/units/persons/francesco-trevisani.md
units/persons/francis-haskell,person,弗朗西斯·詹姆斯·赫伯特·哈斯克尔,Francis James Herbert Haskell,,,,04-knowledge/units/persons/francis-haskell.md
units/persons/franco-venturi,person,弗兰科·文图里,Franco Venturi,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/franco-venturi.md
units/persons/francois-chauveau,person,弗朗索瓦·肖沃,François Chauveau,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/francois-chauveau.md
units/persons/francois-mansart,person,弗朗索瓦·芒萨尔,François Mansart,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/francois-mansart.md
units/persons/franz-koenigs,person,弗朗茨·克尼希斯,Franz Koenigs,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/franz-koenigs.md
units/persons/frederick-iii,person,皇帝腓特烈三世,Frederick III,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/frederick-iii.md
units/persons/fulvio-testi,person,富尔维奥·泰斯蒂,Fulvio Testi,,2026-09-09,2026-09-25,04-knowledge/units/persons/fulvio-testi.md
units/persons/g-h-w-rylands,person,乔治·汉弗莱·沃尔弗斯坦·赖兰兹,George Humphrey Wolferstan Rylands,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/g-h-w-rylands.md
units/persons/g-m-sasso,person,乔万尼·马里亚·萨索,Giovanni Maria Sasso,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/g-m-sasso.md
units/persons/g-volpato,person,乔万尼·沃尔帕托,Giovanni Volpato,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/g-volpato.md
units/persons/gaetano-cozzi,person,加埃塔诺·科齐,Gaetano Cozzi,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/gaetano-cozzi.md
units/persons/gaspar-roomer,person,加斯帕尔·罗默,Gaspar Roomer,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/gaspar-roomer.md
units/persons/gaspard-dughet,person,加斯帕尔·迪盖,Gaspard Dughet,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/gaspard-dughet.md
units/persons/gentile-bellini,person,真蒂莱·贝利尼,Gentile Bellini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/gentile-bellini.md
units/persons/giacinto-brandi,person,贾钦托·布兰迪,Giacinto Brandi,,2026-09-09,2026-09-14,04-knowledge/units/persons/giacinto-brandi.md
units/persons/giacomo-triga,person,贾科莫·特里加,Giacomo Triga,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/giacomo-triga.md
units/persons/giambattista-passeri,person,乔万尼·巴蒂斯塔·帕塞里,Giovanni Battista Passeri,,2026-09-09,2026-09-14,04-knowledge/units/persons/giambattista-passeri.md
units/persons/giambattista-tiepolo,person,乔万巴蒂斯塔·提埃坡罗,Giambattista Tiepolo,,,,04-knowledge/units/persons/giambattista-tiepolo.md
units/persons/giammaria-morandi,person,乔万尼·玛丽亚·莫兰迪,Giovanni Maria Morandi,,2026-09-09,2026-09-14,04-knowledge/units/persons/giammaria-morandi.md
units/persons/gian-antonio-faldoni,person,乔瓦尼·安东尼奥·法尔多尼,Giovanni Antonio Faldoni,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/gian-antonio-faldoni.md
units/persons/gian-lorenzo-bernini,person,吉安·洛伦佐·贝尔尼尼,Gian Lorenzo Bernini,,2026-09-09,2026-09-14,04-knowledge/units/persons/gian-lorenzo-bernini.md
units/persons/gianandrea-carlone,person,乔万尼·安德烈亚·卡尔洛内,Giovanni Andrea Carlone,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/gianandrea-carlone.md
units/persons/giandomenico-tiepolo,person,乔万多梅尼科·提埃坡罗,Giandomenico Tiepolo,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/giandomenico-tiepolo.md
units/persons/gianfranco-torcellan,person,詹弗兰科·托尔切兰,Gianfranco Torcellan,,,,04-knowledge/units/persons/gianfranco-torcellan.md
units/persons/giannantonio-fumiani,person,乔瓦尼·安东尼奥·富米亚尼,Giovanni Antonio Fumiani,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/giannantonio-fumiani.md
units/persons/giaquinto-front-matter,person,科拉多·贾昆托,Corrado Giaquinto,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/giaquinto-front-matter.md
units/persons/gio-gasparo-baldoini,person,乔瓦尼·加斯帕雷·巴尔多伊诺,Giovanni Gaspare Baldoino,,2026-09-09,2026-09-25,04-knowledge/units/persons/gio-gasparo-baldoini.md
units/persons/gio-maria-bottalla,person,乔万尼·马里亚·博塔拉,Giovanni Maria Bottalla,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/gio-maria-bottalla.md
units/persons/giorgio-vasari,person,瓦萨里,Vasari,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/giorgio-vasari.md
units/persons/giovan-battista-gaulli,person,乔万尼·巴蒂斯塔·盖乌利,Giovanni Battista Gaulli,,2026-09-09,2026-09-14,04-knowledge/units/persons/giovan-battista-gaulli.md
units/persons/giovanni-adamo-piola,person,列支敦士登亲王约翰·亚当·安德烈亚斯一世,"Johann Adam Andreas I, Prince of Liechtenstein",chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/giovanni-adamo-piola.md
units/persons/giovanni-battista-de-lazzari,person,乔瓦尼·巴蒂斯塔·德·拉扎里,Giovanni Battista de' Lazzari,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/giovanni-battista-de-lazzari.md
units/persons/giovanni-battista-pamphilj-aldobrandini,person,乔万尼·巴蒂斯塔·潘菲利·阿尔多布兰迪尼,Giovanni Battista Pamphilj Aldobrandini,,2026-09-25,2026-09-25,04-knowledge/units/persons/giovanni-battista-pamphilj-aldobrandini.md
units/persons/giovanni-bonati,person,乔瓦尼·博纳蒂,Giovanni Bonatti,,2026-09-09,2026-09-14,04-knowledge/units/persons/giovanni-bonati.md
units/persons/giovanni-domenico-piastrini,person,乔万尼·多梅尼科·皮亚斯特里尼,Giovanni Domenico Piastrini,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/giovanni-domenico-piastrini.md
units/persons/giovanni-lanfranco,person,乔万尼·兰弗兰科,Giovanni Lanfranco,,2026-09-09,2026-09-14,04-knowledge/units/persons/giovanni-lanfranco.md
units/persons/giovanni-maria-viani,person,乔瓦尼·马里亚·维亚尼,Giovanni Maria Viani,front-matter,2026-09-15,2026-09-15,04-knowledge/units/persons/giovanni-maria-viani.md
units/persons/giovanni-odazzi,person,乔万尼·奥达齐,Giovanni Odazzi,,2026-09-09,2026-09-14,04-knowledge/units/persons/giovanni-odazzi.md
units/persons/giovanni-perugini,person,乔万尼·佩鲁吉尼,Giovanni Perugini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/giovanni-perugini.md
units/persons/giovanni-pesaro,person,乔万尼·佩萨罗,Giovanni Pesaro,,2026-09-14,2026-09-25,04-knowledge/units/persons/giovanni-pesaro.md
units/persons/giovanni-pietro-bellori,person,乔万尼·彼得罗·贝洛里,Giovanni Pietro Bellori,,2026-09-09,2026-09-14,04-knowledge/units/persons/giovanni-pietro-bellori.md
units/persons/girolamo-mengozzi-colonna,person,吉罗拉莫·门戈齐·科隆纳,Girolamo Mengozzi Colonna,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/girolamo-mengozzi-colonna.md
units/persons/girolamo-teti,person,吉罗拉莫·泰蒂,Girolamo Teti,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/girolamo-teti.md
units/persons/giulio-mancini,person,朱利奥·曼奇尼,Giulio Mancini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/giulio-mancini.md
units/persons/giulio-sacchetti,person,朱利奥·萨凯蒂,Giulio Sacchetti,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/giulio-sacchetti.md
units/persons/giuseppe-angeli,person,朱塞佩·安杰利,Giuseppe Angeli,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/giuseppe-angeli.md
units/persons/josse-de-corte,person,约瑟·德·科特（Josse de Corte，亦称 Justus de Corte）,Josse de Corte,front-matter,2026-09-25,2026-09-25,04-knowledge/units/persons/josse-de-corte.md
units/persons/giuseppe-cesari,person,朱塞佩·切萨里,Giuseppe Cesari,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/giuseppe-cesari.md
units/persons/giuseppe-de-rosis,person,朱塞佩·德·罗西斯,Giuseppe de Rosis,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/giuseppe-de-rosis.md
units/persons/giuseppe-ghezzi,person,朱塞佩·盖齐,Giuseppe Ghezzi,,2026-09-09,2026-09-14,04-knowledge/units/persons/giuseppe-ghezzi.md
units/persons/giuseppe-maria-crespi,person,朱塞佩·马里亚·克雷斯皮,Giuseppe Maria Crespi,,,,04-knowledge/units/persons/giuseppe-maria-crespi.md
units/persons/giuseppe-zocchi,person,朱塞佩·佐基,Giuseppe Zocchi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/giuseppe-zocchi.md
units/persons/gl-bianconi,person,乔万尼·卢多维科·比安科尼,Giovanni Ludovico Bianconi,,2026-09-09,2026-09-14,04-knowledge/units/persons/gl-bianconi.md
units/persons/goldoni,person,卡洛·戈尔多尼,Carlo Goldoni,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/goldoni.md
units/persons/gregorio-lazzarini,person,格雷戈里奥·拉扎里尼,Gregorio Lazzarini,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/gregorio-lazzarini.md
units/persons/gregory-xv,person,格列高利十五世,Gregory XV,,2026-09-09,2026-09-14,04-knowledge/units/persons/gregory-xv.md
units/persons/guercino,person,乔万尼·弗朗切斯科·巴尔比耶里,Giovanni Francesco Barbieri,,2026-09-09,2026-09-14,04-knowledge/units/persons/guercino.md
units/persons/guglielmo-baur,person,约翰·威廉·鲍尔,Johann Wilhelm Baur,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/guglielmo-baur.md
units/persons/guglielmo-cortese,person,古列尔莫·科尔泰塞,Guglielmo Cortese,,2026-09-09,2026-09-14,04-knowledge/units/persons/guglielmo-cortese.md
units/persons/guido-abbatini,person,圭多·乌巴尔多·阿巴蒂尼,Guido Ubaldo Abbatini,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/guido-abbatini.md
