ku_id,type,canonical_name,name_en,source_task
units/persons/bernardo-falconi,person,贝尔纳多·法尔科内（Bernardo Falconi，亦作 Bernardo Falcone）,Bernardo Falconi,front-matter
units/persons/bonifazio-gozadini,person,博尼法齐奥·戈扎迪尼,Bonifazio Gozadini,chp-1
units/persons/bruce-boucher,person,布鲁斯·安布勒·鲍彻,Bruce Ambler Boucher,front-matter
units/persons/burnacini,person,卢多维科·奥塔维奥·布尔纳奇尼,Ludovico Ottavio Burnacini,front-matter
units/persons/camillo-gavasetti,person,卡米洛·加瓦塞蒂,Camillo Gavasetti,
units/persons/camillo-massimi,person,卡米洛·马西米,Camillo Massimi,front-matter
units/persons/camillo-pamfili,person,卡米洛·弗朗切斯科·玛丽亚·潘菲利,Camillo Francesco Maria Pamphili,
units/persons/canaletto,person,乔瓦尼·安东尼奥·卡纳尔,Giovanni Antonio Canal,
units/persons/canova,person,安东尼奥·卡诺瓦,Antonio Canova,front-matter
units/persons/caravaggio,person,卡拉瓦乔,Caravaggio,
units/persons/cardinal-bentivoglio,person,圭多·本蒂沃利奥,Guido Bentivoglio,front-matter
units/persons/cardinal-borghese-ch1,person,希皮奥内·博尔盖塞枢机,Cardinal Scipione Borghese,
units/persons/cardinal-pio-bonati,person,卡洛·皮奥·迪·萨伏依,Carlo Pio di Savoia,
units/persons/cardinal-rospigliosi-gimignani,person,朱利奥·罗斯皮廖西,Giulio Rospigliosi,
units/persons/carlo-bianconi,person,卡洛·比安科尼,Carlo Bianconi,front-matter
units/persons/carlo-cesare-malvasia,person,卡洛·切萨雷·马尔瓦西亚,Carlo Cesare Malvasia,
units/persons/carlo-dolci,person,卡洛·多尔奇,Carlo Dolci,front-matter
units/persons/carlo-lodoli,person,卡洛·洛多利,Carlo Lodoli,front-matter
units/persons/carlo-maratta,person,卡洛·马拉塔,Carlo Maratta,
units/persons/carlo-quarisimini-ch1,person,"卡洛·夸里斯米尼（1696年通信者）（Carlo Quarismini, correspondent in 1696）",Carlo Quarismini,chp-1
units/persons/carlo-ridolfi,person,卡洛·里多尔菲,Carlo Ridolfi,chp-1
units/persons/cassiano-dal-pozzo,person,卡西亚诺·达尔·波佐,Cassiano dal Pozzo,front-matter
units/persons/cesare-leopardi-dosimo,person,切萨雷·莱奥帕尔迪·多西莫,Don Cesare Leopardi d’Osimo,chp-1
units/persons/charles-fox,person,查尔斯·福克斯,Charles Fox,front-matter
units/persons/charles-francois-poerson,person,夏尔-弗朗索瓦·普瓦松,Charles-François Poerson,front-matter
units/persons/charles-i,person,查理一世,Charles I of England,front-matter
units/persons/charles-v,person,查理五世,Charles V,
units/persons/christina-of-sweden,person,瑞典女王克里斯蒂娜,Christina of Sweden,chp-1
units/persons/cimaroli,person,乔瓦尼·巴蒂斯塔·奇马罗利,Giovanni Battista Cimaroli,front-matter
units/persons/ciriaco-mattei,person,奇里亚科·马泰,Ciriaco Mattei,chp-1
units/persons/ciro-ferri,person,奇罗·费里,Ciro Ferri,
units/persons/claude-lorrain,person,克劳德·洛兰,Claude Lorrain,
units/persons/claude-mellan,person,克洛德·梅朗,Claude Mellan,front-matter
units/persons/clement-i,person,圣克莱孟一世,Clement I,front-matter
units/persons/clement-viii,person,克勉八世,Clement VIII,chp-1
units/persons/clement-xi,person,克雷芒十一世,Clement XI,
units/persons/correggio,person,科雷乔,Correggio,
units/persons/dan-fellows-platt,person,丹·费洛斯·普拉特,Dan Fellows Platt,front-matter
units/persons/daphne-ionides,person,达芙妮·伊奥尼德斯,Daphne Ionides,front-matter
units/persons/denis-mahon,person,丹尼斯·马洪,Denis Mahon,
units/persons/domenichino,person,多梅尼科·赞皮耶里,Domenico Zampieri,
units/persons/domenico-cerato,person,多梅尼科·切拉托,Domenico Cerato,front-matter
units/persons/domenico-maria-viani,person,多梅尼科·马里亚·维亚尼,Domenico Maria Viani,front-matter
units/persons/duke-bracciano-mulier,person,布拉恰诺公爵（穆利耶尔的雇主）,Duke of Bracciano (Mulier’s patron),chp-1
units/persons/duke-mantua-reni-1617,person,费迪南多·贡扎加,Ferdinando Gonzaga,chp-1
units/persons/duke-parma-ghezzi,person,帕尔马公爵（盖齐授衔语境）,Duke of Parma (Ghezzi’s honorary appointment),chp-1
units/persons/eberhard-zwicker,person,埃伯哈德·茨维克,Eberhard Zwicker,front-matter
units/persons/elizabeth-orna,person,伊丽莎白·奥纳,Elizabeth Orna,front-matter
units/persons/ellis-waterhouse,person,埃利斯·柯克姆·沃特豪斯,Ellis Kirkham Waterhouse,
units/persons/enzo-crea,person,恩佐·克雷亚,Enzo Crea,front-matter
units/persons/ermete-cavalletti,person,埃尔梅特·卡瓦莱蒂,Ermete Cavalletti,chp-1
units/persons/ernest-cognacq,person,泰奥多尔—埃内斯特·科涅克,Théodore-Ernest Cognacq,front-matter
units/persons/ernest-graf,person,欧内斯特·格拉夫,Ernest Graf,front-matter
units/persons/fabrizio-arragona,person,法布里齐奥·阿拉戈纳,Fabrizio Arragona,chp-1
units/persons/fabrizio-valguarnera,person,法布里齐奥·瓦尔瓜尔内拉,Fabrizio Valguarnera,chp-1
units/persons/federigo-zuccari,person,费德里科·祖卡里,Federico Zuccari,
units/persons/ferdinand-grand-prince-tuscany,person,托斯卡纳大公子费迪南多,Grand Prince Ferdinand of Tuscany,front-matter
units/persons/ferdinando-ii-de-medici,person,费迪南多二世·德·美第奇,Ferdinando II de’ Medici,front-matter
units/persons/ferdinando-marescalchi,person,费迪南多·马雷斯卡尔基,Ferdinando Marescalchi,front-matter
units/persons/filippo-baldinucci,person,菲利波·巴尔迪努奇,Filippo Baldinucci,
units/persons/filippo-hercolani-1736,person,菲利波·埃尔科拉尼（Filippo Hercolani，1736–1810）,Filippo Hercolani (1736–1810),
units/persons/filippo-lauri,person,菲利波·劳里,Filippo Lauri,chp-1
units/persons/flaminio-corner,person,弗拉米尼奥·科尔内尔,Flaminio Corner,front-matter
units/persons/flavio-chigi,person,弗拉维奥·基吉,Flavio Chigi,chp-1
units/persons/francesco-albani,person,弗朗切斯科·阿尔巴尼,Francesco Albani,chp-1
units/persons/francesco-algarotti,person,弗朗切斯科·阿尔加罗蒂,Francesco Algarotti,front-matter
units/persons/francesco-barberini,person,弗朗切斯科·巴贝里尼,Francesco Barberini,
units/persons/francesco-cavrioli,person,弗朗切斯科·卡夫里奥利,Francesco Cavrioli,front-matter
units/persons/francesco-fanelli,person,弗朗切斯科·法内利,Francesco Fanelli,front-matter
units/persons/francesco-fontana,person,弗朗切斯科·丰塔纳,Francesco Fontana,
units/persons/francesco-guardi,person,弗朗切斯科·瓜尔迪,Francesco Guardi,front-matter
units/persons/francesco-maggiotto,person,弗朗切斯科·费代利（又称马焦托）,"Francesco Fedeli, detto il Maggiotto",chp-1
units/persons/galeazzo-fontana,person,加莱亚佐·丰塔纳,Galeazzo Fontana,chp-1
units/persons/maffeo-pinelli,person,马费奥·皮内利,Maffeo Pinelli,chp-1
units/persons/francesco-maria-del-monte,person,弗朗切斯科·玛丽亚·德尔·蒙特,Francesco Maria del Monte,chp-1
units/persons/francesco-novetti,person,弗朗切斯科·诺韦蒂,Francesco Novetti,chp-1
units/persons/francesco-petrucci,person,弗朗切斯科·彼得鲁奇,Francesco Petrucci,front-matter
units/persons/francesco-trevisani,person,弗朗切斯科·特雷维萨尼,Francesco Trevisani,
units/persons/francis-haskell,person,弗朗西斯·詹姆斯·赫伯特·哈斯克尔,Francis James Herbert Haskell,
units/persons/franco-venturi,person,弗兰科·文图里,Franco Venturi,front-matter
units/persons/francois-chauveau,person,弗朗索瓦·肖沃,François Chauveau,front-matter
units/persons/francois-mansart,person,弗朗索瓦·芒萨尔,François Mansart,front-matter
units/persons/franz-koenigs,person,弗朗茨·克尼希斯,Franz Koenigs,front-matter
units/persons/frederick-iii,person,皇帝腓特烈三世,Frederick III,chp-1
units/persons/fulvio-testi,person,富尔维奥·泰斯蒂,Fulvio Testi,
units/persons/g-h-w-rylands,person,乔治·汉弗莱·沃尔弗斯坦·赖兰兹,George Humphrey Wolferstan Rylands,front-matter
units/persons/g-m-sasso,person,乔万尼·马里亚·萨索,Giovanni Maria Sasso,front-matter
units/persons/g-volpato,person,乔万尼·沃尔帕托,Giovanni Volpato,front-matter
units/persons/gaetano-cozzi,person,加埃塔诺·科齐,Gaetano Cozzi,front-matter
units/persons/gaspar-roomer,person,加斯帕尔·罗默,Gaspar Roomer,front-matter
units/persons/gaspard-dughet,person,加斯帕尔·迪盖,Gaspard Dughet,chp-1
units/persons/gentile-bellini,person,真蒂莱·贝利尼,Gentile Bellini,chp-1
units/persons/giacinto-brandi,person,贾钦托·布兰迪,Giacinto Brandi,
units/persons/giacomo-triga,person,贾科莫·特里加,Giacomo Triga,front-matter
units/persons/giambattista-passeri,person,乔万尼·巴蒂斯塔·帕塞里,Giovanni Battista Passeri,
units/persons/giambattista-tiepolo,person,乔万巴蒂斯塔·提埃坡罗,Giambattista Tiepolo,
units/persons/giammaria-morandi,person,乔万尼·玛丽亚·莫兰迪,Giovanni Maria Morandi,
units/persons/gian-antonio-faldoni,person,乔瓦尼·安东尼奥·法尔多尼,Giovanni Antonio Faldoni,front-matter
units/persons/gian-lorenzo-bernini,person,吉安·洛伦佐·贝尔尼尼,Gian Lorenzo Bernini,
units/persons/gianandrea-carlone,person,乔万尼·安德烈亚·卡尔洛内,Giovanni Andrea Carlone,chp-1
units/persons/giandomenico-tiepolo,person,乔万多梅尼科·提埃坡罗,Giandomenico Tiepolo,front-matter
units/persons/gianfranco-torcellan,person,詹弗兰科·托尔切兰,Gianfranco Torcellan,
units/persons/giannantonio-fumiani,person,乔瓦尼·安东尼奥·富米亚尼,Giovanni Antonio Fumiani,front-matter
units/persons/giaquinto-front-matter,person,科拉多·贾昆托,Corrado Giaquinto,front-matter
units/persons/gio-gasparo-baldoini,person,乔瓦尼·加斯帕雷·巴尔多伊诺,Giovanni Gaspare Baldoino,
units/persons/gio-maria-bottalla,person,乔万尼·马里亚·博塔拉,Giovanni Maria Bottalla,front-matter
units/persons/giorgio-vasari,person,瓦萨里,Vasari,chp-1
units/persons/giovan-battista-gaulli,person,乔万尼·巴蒂斯塔·盖乌利,Giovanni Battista Gaulli,
units/persons/giovanni-adamo-piola,person,列支敦士登亲王约翰·亚当·安德烈亚斯一世,"Johann Adam Andreas I, Prince of Liechtenstein",chp-1
units/persons/giovanni-battista-de-lazzari,person,乔瓦尼·巴蒂斯塔·德·拉扎里,Giovanni Battista de' Lazzari,chp-1
units/persons/giovanni-battista-pamphilj-aldobrandini,person,乔万尼·巴蒂斯塔·潘菲利·阿尔多布兰迪尼,Giovanni Battista Pamphilj Aldobrandini,
units/persons/giovanni-bonati,person,乔瓦尼·博纳蒂,Giovanni Bonatti,
units/persons/giovanni-domenico-piastrini,person,乔万尼·多梅尼科·皮亚斯特里尼,Giovanni Domenico Piastrini,front-matter
units/persons/giovanni-lanfranco,person,乔万尼·兰弗兰科,Giovanni Lanfranco,
units/persons/giovanni-maria-viani,person,乔瓦尼·马里亚·维亚尼,Giovanni Maria Viani,front-matter
units/persons/giovanni-odazzi,person,乔万尼·奥达齐,Giovanni Odazzi,
units/persons/giovanni-perugini,person,乔万尼·佩鲁吉尼,Giovanni Perugini,chp-1
units/persons/giovanni-pesaro,person,乔万尼·佩萨罗,Giovanni Pesaro,
units/persons/giovanni-pietro-bellori,person,乔万尼·彼得罗·贝洛里,Giovanni Pietro Bellori,
units/persons/girolamo-mengozzi-colonna,person,吉罗拉莫·门戈齐·科隆纳,Girolamo Mengozzi Colonna,front-matter
units/persons/girolamo-teti,person,吉罗拉莫·泰蒂,Girolamo Teti,front-matter
units/persons/giulio-mancini,person,朱利奥·曼奇尼,Giulio Mancini,chp-1
units/persons/giulio-sacchetti,person,朱利奥·萨凯蒂,Giulio Sacchetti,front-matter
units/persons/giuseppe-angeli,person,朱塞佩·安杰利,Giuseppe Angeli,front-matter
units/persons/josse-de-corte,person,约瑟·德·科特（Josse de Corte，亦称 Justus de Corte）,Josse de Corte,front-matter
units/persons/giuseppe-cesari,person,朱塞佩·切萨里,Giuseppe Cesari,chp-1
units/persons/giuseppe-de-rosis,person,朱塞佩·德·罗西斯,Giuseppe de Rosis,chp-1
units/persons/giuseppe-ghezzi,person,朱塞佩·盖齐,Giuseppe Ghezzi,
units/persons/giuseppe-maria-crespi,person,朱塞佩·马里亚·克雷斯皮,Giuseppe Maria Crespi,
units/persons/giuseppe-zocchi,person,朱塞佩·佐基,Giuseppe Zocchi,front-matter
units/persons/gl-bianconi,person,乔万尼·卢多维科·比安科尼,Giovanni Ludovico Bianconi,
units/persons/goldoni,person,卡洛·戈尔多尼,Carlo Goldoni,front-matter
units/persons/gregorio-lazzarini,person,格雷戈里奥·拉扎里尼,Gregorio Lazzarini,front-matter
units/persons/gregory-xv,person,格列高利十五世,Gregory XV,
units/persons/guercino,person,乔万尼·弗朗切斯科·巴尔比耶里,Giovanni Francesco Barbieri,
units/persons/guglielmo-baur,person,约翰·威廉·鲍尔,Johann Wilhelm Baur,front-matter
units/persons/guglielmo-cortese,person,古列尔莫·科尔泰塞,Guglielmo Cortese,
units/persons/guido-abbatini,person,圭多·乌巴尔多·阿巴蒂尼,Guido Ubaldo Abbatini,front-matter
units/persons/guido-cagnacci,person,圭多·卡尼亚奇,Guido Cagnacci,front-matter
units/persons/guido-reni,person,圭多·雷尼,Guido Reni,
units/persons/gyles-isham,person,盖尔斯·伊舍姆,Gyles Isham,front-matter
units/persons/homer,person,荷马,Homer,front-matter
units/persons/howard-hibbard,person,霍华德·希巴德,Howard Hibbard,front-matter
units/persons/hugh-honour,person,休·昂纳,Hugh Honour,front-matter
units/persons/innocent-x,person,英诺森十世,Innocent X,chp-1
units/persons/innocent-xi,person,英诺森十一世,Innocent XI,front-matter
units/persons/innocent-xiii,person,英诺森十三世,Innocent XIII,chp-1
units/persons/j-tomilson-hill,person,J. 托米尔森·希尔,J. Tomilson Hill,chp-1
units/persons/jacopo-salviati,person,雅各布·萨尔维亚蒂,Jacopo Salviati,chp-1
units/persons/jerome-bankes,person,杰罗姆·班克斯,Jerome Bankes,front-matter
units/persons/johann-conrad-hofmann,person,约翰·康拉德·霍夫曼,Johann Conrad Hofmann,front-matter
units/persons/johann-heinrich-schmelzer,person,约翰·海因里希·施梅尔策,Johann Heinrich Schmelzer,front-matter
units/persons/johann-wilhelm-elector-palatine,person,约翰·威廉,"Johann Wilhelm, Elector Palatine",front-matter
units/persons/john-finch,person,约翰·芬奇,John Finch,front-matter
units/persons/john-gilmartin,person,约翰·吉尔马丁,John Gilmartin,front-matter
units/persons/john-nicoll,person,约翰·尼科尔,John Nicoll,front-matter
units/persons/john-r-freeman,person,约翰·R. 弗里曼,John R. Freeman,front-matter
units/persons/john-strange,person,约翰·斯特兰奇,John Strange,front-matter
units/persons/juan-de-pareja,person,胡安·德·帕雷哈,Juan de Pareja,front-matter
units/persons/jules-guiffrey,person,朱尔·吉弗雷,Jules Guiffrey,front-matter
units/persons/katharina-heinzelmann,person,卡塔琳娜·海因策尔曼,Katharina Heinzelmann,front-matter
units/persons/laerzio-cherubini,person,莱尔齐奥·凯鲁比尼,Laerzio Cherubini,chp-1
units/persons/larissa-dedicatee,person,拉里萨·萨尔米娜,Larissa Salmina,front-matter
units/persons/lavinia-albergati,person,拉维尼娅·阿尔贝尔加蒂,Lavinia Albergati,
units/persons/leo-x,person,利奥十世,Leo X,chp-1
units/persons/leonardis,person,雅科波·莱奥纳迪斯,Jacopo Leonardis,front-matter
units/persons/leonardo-pesaro-commissioner,person,莱昂纳多·佩萨罗（Leonardo Pesaro，乔万尼·佩萨罗之侄）,Leonardo Pesaro,front-matter
units/persons/leopoldo-de-medici,person,莱奥波尔多·德·美第奇,Leopoldo de’ Medici,chp-1
units/persons/lodovico-gimignani,person,洛多维科·吉米尼亚尼,Lodovico Gimignani,
units/persons/lord-arundell-coke-correspondent,person,托马斯·霍华德，阿伦德尔伯爵,"Thomas Howard, Earl of Arundel",
units/persons/louis-antoine-de-pardaillan-de-gondrin,person,路易-安托万·德·帕尔达扬·德·贡德兰,Louis-Antoine de Pardaillan de Gondrin,front-matter
units/persons/louis-xiv,person,路易十四,Louis XIV,front-matter
units/persons/luca-giordano,person,卢卡·焦尔达诺,Luca Giordano,chp-1
units/persons/luigi-bernini,person,路易吉·贝尔尼尼,Luigi Bernini,chp-1
units/persons/ludovico-ludovisi,person,卢多维科·卢多维西,Ludovico Ludovisi,
units/persons/marcantonio-i-doria,person,马尔坎托尼奥一世·多利亚,Marcantonio I Doria,chp-1
units/persons/marcantonio-hercolani-1709,person,马尔坎托尼奥·埃尔科拉尼（Marcantonio Hercolani，1709–1772）,Marcantonio Hercolani (1709–1772),chp-1
units/persons/marcello-sacchetti,person,马尔切洛·萨凯蒂,Marcello Sacchetti,
units/persons/marchese-costaguti-household,person,科斯塔古蒂侯爵（卡尔洛内婚姻事例语境）,Marchese Costaguti (Carlone marriage context),chp-1
units/persons/marchese-del-carpio,person,加斯帕尔·门德斯·德阿罗，第七代卡尔皮奥侯爵,"Gaspar Méndez de Haro, 7th Marquess of Carpio",
units/persons/marchese-gerini,person,安德烈亚·杰里尼,Andrea Gerini,front-matter
units/persons/marchese-giustiniani-ch1,person,文琴佐·朱斯蒂尼亚尼,Vincenzo Giustiniani,
units/persons/marchese-pallavicini-piola,person,尼科洛·马里亚·帕拉维奇尼侯爵,Niccolò Maria Pallavicini,chp-1
units/persons/marchese-san-tommaso-negri,person,圣托马索侯爵（内格里的收信人）,Marchese di S. Tommaso (Negri’s correspondent),chp-1
units/persons/marco-chiarini,person,马尔科·基亚里尼,Marco Chiarini,front-matter
units/persons/marco-foscarini,person,马尔科·福斯卡里尼,Marco Foscarini,front-matter
units/persons/marco-pitteri,person,马尔科·阿尔维塞·皮泰里,Marco Alvise Pitteri,front-matter
units/persons/marco-ricci,person,马尔科·里奇,Marco Ricci,front-matter
units/persons/marianne-roland-michel,person,玛丽安娜·罗兰-米歇尔,Marianne Roland-Michel,front-matter
units/persons/maria-ruffo-guercino-commissioner,person,"玛丽亚·鲁福（圭尔奇诺祭坛画委托者）（D.a Maria Ruffo, Guercino altarpiece commissioner）","D.a Maria Ruffo, commissioner of Guercino's Saint Teresa altarpiece",chp-1
units/persons/maria-teresa-ruffo-1688-altar-commissioner,person,玛丽亚·特蕾莎·鲁福（圣额我略堂1688年祭坛委托者）,"Maria Teresa Ruffo, commissioner of the 1688 San Gregorio altar",chp-1
units/persons/marie-louise-jay,person,玛丽—路易丝·杰,Marie-Louise Jaÿ,front-matter
units/persons/marieschi,person,米凯莱·马里耶斯基,Michele Marieschi,front-matter
units/persons/mario-de-fiori,person,马里奥·努齐,Mario Nuzzi,
units/persons/mario-minnitti,person,马里奥·明尼蒂,Mario Minniti,chp-1
units/persons/marshal-schulenburg,person,约翰·马蒂亚斯·冯·德尔·舒伦堡,Johann Matthias von der Schulenburg,front-matter
units/persons/massimo-stanzione,person,马西莫·斯坦齐奥内,Massimo Stanzione,front-matter
units/persons/matteo-castelli,person,马泰奥·卡斯泰利,Matteo Castelli,front-matter
units/persons/matthaeus-kusel,person,马特乌斯·屈塞尔,Matthäus Küsel,front-matter
units/persons/mattia-preti,person,马蒂亚·普雷蒂,Mattia Preti,chp-1
units/persons/maurizio-di-savoia,person,毛里齐奥·迪·萨伏依,Maurizio di Savoia,
units/persons/mauro-antonio-tesi,person,毛罗·安东尼奥·泰西,Mauro Antonio Tesi,front-matter
units/persons/mazarin,person,朱尔·马扎然,Jules Mazarin,front-matter
units/persons/melchior-barthel,person,梅尔希奥尔·巴特尔,Melchior Barthel,front-matter
units/persons/michael-conforti,person,迈克尔·康福尔蒂,Michael Conforti,front-matter
units/persons/michael-levey,person,迈克尔·利维,Michael Levey,front-matter
units/persons/michelangelo-cerquozzi,person,米开朗基罗·切尔阔齐,Michelangelo Cerquozzi,
units/persons/michelangelo,person,米开朗基罗,Michelangelo,chp-1
units/persons/michele-fabris,person,米凯莱·法布里斯,Michele Fabris,front-matter
units/persons/mr-coke-rome-correspondent,person,托马斯·科克（Thomas Coke，阿伦德尔家户通信者）,Thomas Coke (Arundel household correspondent),chp-1
units/persons/nanteuil,person,罗贝尔·南特伊,Robert Nanteuil,front-matter
units/persons/niccolo-bambini,person,尼科洛·班比尼,Nicolò Bambini,front-matter
units/persons/niccolo-ludovisi,person,尼科洛·卢多维西,Niccolò Ludovisi,
units/persons/nicolas-poussin,person,尼古拉·普桑,Nicolas Poussin,
units/persons/nicolo-minato,person,尼科洛·米纳托,Nicolò Minato,front-matter
units/persons/nikolaus-pevsner,person,尼古拉斯·佩夫斯纳,Nikolaus Pevsner,front-matter
units/persons/norah-smallwood,person,诺拉·斯莫尔伍德,Norah Smallwood,front-matter
units/persons/olimpia-aldobrandini,person,奥林皮娅·阿尔多布兰迪尼,Olimpia Aldobrandini,
units/persons/onorato-gini,person,奥诺拉托·吉尼,Onorato Gini,chp-1
units/persons/onorio-longhi,person,奥诺里奥·隆吉,Onorio Longhi,chp-1
units/persons/orazio-gentileschi,person,奥拉齐奥·真蒂莱斯基,Orazio Gentileschi,front-matter
units/persons/orazio-ludovisi,person,奥拉齐奥·卢多维西,Orazio Ludovisi,
units/persons/oscar-savio,person,奥斯卡·萨维奥,Oscar Savio,front-matter
units/persons/ottaviano-ottoviani,person,奥塔维亚诺·奥托维亚尼,Ottaviano Ottoviani,front-matter
units/persons/ottavio-costa,person,奥塔维奥·科斯塔,Ottavio Costa,chp-1
units/persons/ottavio-leoni,person,奥塔维奥·莱奥尼,Ottavio Leoni,
units/persons/owen-mcswiny,person,欧文·麦克斯温尼,Owen MacSwinny,front-matter
units/persons/p-van-bleek,person,彼得·范·布莱克,Peter van Bleeck,front-matter
units/persons/paolo-borghese,person,保罗·博尔盖塞,Paolo Borghese,chp-1
units/persons/paolo-de-matteis,person,保罗·德·马泰伊斯,Paolo de Matteis,chp-1
units/persons/paolo-giordano-orsini,person,保罗·乔尔达诺·奥尔西尼,Paolo Giordano Orsini,front-matter
units/persons/paolo-girolamo-piola,person,保罗·杰罗拉莫·皮奥拉,Paolo Gerolamo Piola,
units/persons/paolo-gismondi,person,保罗·吉斯蒙迪,Paolo Gismondi,front-matter
units/persons/paolo-guidotti,person,保罗·圭多蒂,Paolo Guidotti,chp-1
units/persons/paolo-negri,person,保罗·内格里,Paolo Negri,chp-1
units/persons/pascoli,person,利奥内·帕斯科利,Lione Pascoli,
units/persons/pasquali,person,乔万尼·巴蒂斯塔·帕斯夸利,Giovanni Battista Pasquali,front-matter
units/persons/pastor-historian,person,路德维科·冯·帕斯托,Ludovico von Pastor,front-matter
units/persons/paul-v,person,保禄五世,Paul V,
units/persons/pellegrini,person,乔瓦尼·安东尼奥·佩莱格里尼,Giovanni Antonio Pellegrini,front-matter
units/persons/peter-calvocoressi,person,彼得·约翰·安布罗斯·卡尔沃科雷西,Peter John Ambrose Calvocoressi,front-matter
units/persons/peter-moores,person,彼得·穆尔斯,Peter Moores,front-matter
units/persons/peter-paul-rubens,person,彼得·保罗·鲁本斯,Peter Paul Rubens,
units/persons/piazzetta,person,乔万尼·巴蒂斯塔·皮亚泽塔,Giovanni Battista Piazzetta,
units/persons/pier-francesco-mola,person,皮耶尔·弗朗切斯科·莫拉,Pier Francesco Mola,
units/persons/pier-leone-ghezzi,person,皮耶尔·莱奥内·盖齐,Pier Leone Ghezzi,front-matter
units/persons/pierre-mignard,person,皮埃尔·米尼亚尔,Pierre Mignard,front-matter
units/persons/pierre-motteux,person,彼得·安东尼·莫特,Peter Anthony Motteux,front-matter
units/persons/pierre-rosenberg,person,皮埃尔·罗森贝格,Pierre Rosenberg,front-matter
units/persons/pierre-van-schuppen,person,皮埃尔·范·斯许彭,Pierre van Schuppen,front-matter
units/persons/pieter-van-laer,person,彼得·范拉尔,Pieter van Laer,
units/persons/pietro-antonio-novelli,person,皮埃特罗·安东尼奥·诺韦利,Pietro Antonio Novelli,front-matter
units/persons/pietro-bernini,person,彼得罗·贝尔尼尼,Pietro Bernini,chp-1
units/persons/pietro-da-cortona,person,皮耶特罗·达·科尔托纳,Pietro da Cortona,
units/persons/pietro-di-pietri,person,皮埃特罗·安东尼奥·德·彼得里,Pietro Antonio De Petri,front-matter
units/persons/pietro-mulier,person,皮耶特罗·穆利耶尔,Pietro Mulier,
units/persons/pietro-ottoboni,person,彼得罗·奥托博尼,Pietro Ottoboni,
units/persons/pietro-testa,person,皮埃特罗·泰斯塔,Pietro Testa,chp-1
units/persons/pittoni,person,乔瓦尼·巴蒂斯塔·皮托尼,Giovanni Battista Pittoni,front-matter
units/persons/pompeo-batoni,person,蓬佩奥·吉罗拉莫·巴托尼,Pompeo Girolamo Batoni,
units/persons/prospero-orsi,person,普罗斯佩罗·奥尔西,Prospero Orsi,chp-1
units/persons/r-b-fleming,person,R. B. 弗莱明,R. B. Fleming,front-matter
units/persons/raimondo-buonaccorsi,person,雷蒙多·布奥纳科尔西,Raimondo Buonaccorsi,front-matter
units/persons/ralph-bankes-1631-1677,person,拉尔夫·班克斯爵士,Sir Ralph Bankes,front-matter
units/persons/ralph-bankes,person,亨利·约翰·拉尔夫·班克斯,Henry John Ralph Bankes,front-matter
units/persons/raphael,person,拉斐尔,Raphael,chp-1
units/persons/rembrandt,person,伦勃朗,Rembrandt,chp-1
units/persons/ribera,person,胡塞佩·德·里贝拉,Jusepe de Ribera,front-matter
units/persons/robert-enggass,person,罗伯特·恩加斯,Robert Enggass,front-matter
units/persons/romanelli,person,乔万尼·弗朗切斯科·罗马内利,Giovanni Francesco Romanelli,front-matter
units/persons/rudolf-wittkower,person,鲁道夫·维特科尔,Rudolf Wittkower,front-matter
units/persons/salvator-rosa,person,萨尔瓦多·罗萨,Salvator Rosa,
units/persons/sassoferrato,person,乔万尼·巴蒂斯塔·萨尔维,Giovanni Battista Salvi,front-matter
units/persons/saverio-savini,person,萨尔维奥·萨维尼,Salvio Savini,chp-1
units/persons/sebastiano-conca,person,塞巴斯蒂亚诺·孔卡,Sebastiano Conca,
units/persons/sebastiano-ricci,person,塞巴斯蒂亚诺·里奇,Sebastiano Ricci,
units/persons/sigismund-streit,person,西吉斯蒙德·施特赖特,Sigismund Streit,front-matter
units/persons/simone-peterzano,person,西莫内·彼得扎诺,Simone Peterzano,chp-1
units/persons/simonelli,person,尼科洛·西莫内利,Niccolò Simonelli,front-matter
units/persons/sixtus-v,person,西斯笃五世,Sixtus V,
units/persons/solimena,person,弗朗切斯科·索利梅纳,Francesco Solimena,front-matter
units/persons/stefano-conti,person,斯特凡诺·孔蒂,Stefano Conti,front-matter
units/persons/tarquinio-salvi,person,塔尔奎尼奥·萨尔维,Tarquinio Salvi,front-matter
units/persons/teodoro-correr,person,泰奥多罗·科雷尔,Teodoro Correr,front-matter
units/persons/terisio-pignatti,person,泰里西奥·皮尼亚蒂,Terisio Pignatti,front-matter
units/persons/thomas-baines,person,托马斯·贝恩斯,Thomas Baines,front-matter
units/persons/thomas-baker,person,托马斯·贝克,Thomas Baker,chp-1
units/persons/thomas-isham,person,托马斯·伊舍姆,Thomas Isham,front-matter
units/persons/tiberio-cerasi,person,蒂贝里奥·切拉西,Tiberio Cerasi,chp-1
units/persons/titian,person,提香,Titian,chp-1
units/persons/tommaso-chiari,person,托马索·基亚里,Tommaso Chiari,front-matter
units/persons/tommaso-fontana,person,托马索·丰塔纳,Tommaso Fontana,chp-1
units/persons/torquato-tasso,person,托尔夸托·塔索,Torquato Tasso,front-matter
units/persons/urbano-viii,person,乌尔班八世,Urban VIII,
units/persons/valentin,person,瓦朗坦·德·布洛涅,Valentin de Boulogne,chp-1
units/persons/van-dyck,person,安东尼·范·戴克,Anthony van Dyck,front-matter
